Symbol,Name,Time
MRK,Merck & Company,7/17/2024
MRNA,Moderna Inc,7/17/2024
MRO,Marathon Oil Corp,7/17/2024
MS,Morgan Stanley,7/17/2024
MSCI,MSCI Inc,7/17/2024
MSFT,Microsoft Corp,7/17/2024
MSI,Motorola Solutions,7/17/2024
MTB,M&T Bank Corp,7/17/2024
MTCH,Match Group Inc,7/17/2024
MTD,Mettler-Toledo International,7/17/2024
MU,Micron Technology,7/17/2024
NCLH,Norwegian Cruise Ord,7/17/2024
NDAQ,Nasdaq Inc,7/17/2024
NDSN,Nordson Corp,7/17/2024
NEE,Nextera Energy,7/17/2024
NEM,Newmont Mining Corp,7/17/2024
NFLX,Netflix Inc,7/17/2024
NI,NiSource Inc,7/17/2024
NKE,Nike Inc,7/17/2024
NOC,Northrop Grumman Corp,7/17/2024
NOW,Servicenow Inc,7/17/2024
NRG,NRG Energy,7/17/2024
NSC,Norfolk Southern Corp,7/17/2024
NTAP,Netapp Inc,7/17/2024
NTRS,Northern Trust Corp,7/17/2024
NUE,Nucor Corp,7/17/2024
NVDA,Nvidia Corp,7/17/2024
NVR,NVR Inc,7/17/2024
NWS,News Corp Cl B,7/17/2024
NWSA,News Corp Cl A,7/17/2024
NXPI,Nxp Semiconductors,7/17/2024
O,Realty Income Corp,7/17/2024
ODFL,Old Dominion Freight Line Inc,7/17/2024
OKE,Oneok Inc,7/17/2024
OMC,Omnicom Group Inc,7/17/2024
ON,On Semiconductor,7/17/2024
ORCL,Oracle Corp,7/17/2024
ORLY,O'Reilly Automotive,7/17/2024
OTIS,Otis Worldwide Corp,7/17/2024
OXY,Occidental Petroleum Corp,7/17/2024
PANW,Palo Alto Networks Inc,7/17/2024
PARA,Paramount Global Cl B,7/17/2024
PAYC,Paycom Software Inc,7/17/2024
PAYX,Paychex Inc,7/17/2024
PCAR,Paccar Inc,7/17/2024
PCG,Pacific Gas & Electric Company,7/17/2024
PEG,Public Service Enterprise Group Inc,7/17/2024
PEP,Pepsico Inc,7/17/2024
PFE,Pfizer Inc,7/17/2024
PFG,Principal Financial Group Inc,7/17/2024
PG,Procter & Gamble Company,7/17/2024
PGR,Progressive Corp,7/17/2024
PH,Parker-Hannifin Corp,7/17/2024
PHM,Pultegroup,7/17/2024
PKG,Packaging Corp of America,7/17/2024
PLD,Prologis Inc,7/17/2024
PM,Philip Morris International Inc,7/17/2024
PNC,PNC Bank,7/17/2024
PNR,Pentair Ltd,7/17/2024
PNW,Pinnacle West Capital Corp,7/17/2024
